-1553,-2061,220,-2241,-33208,-1684,-10439,-9349,-10154,4557,-2557,2362,-5581,-31315,304,2318,-3099,20802,-927,9298
-1184,-2376,-505,-2090,-29567,-1442,-2083,-7579,-9651,3616,-1972,2389,-3830,-32270,1513,1712,-2950,21574,-536,11495
-520,-2578,-1300,-3205,-26134,-1028,-325,-5592,-9041,2116,-1030,2275,-4475,-33257,1035,343,-1279,19208,-245,12657
-376,-3329,-1614,-3020,-22989,-552,690,-2339,-8843,-197,-1387,2219,-3500,-34284,883,-379,341,17526,-1438,11660
-135,-3274,-1749,-3862,-20737,1032,1031,-355,-8841,-1608,-700,1975,-2612,-34894,1018,-526,2742,15189,-910,11893
-15,-4030,-1463,-4122,-18647,690,719,1343,-8589,-3713,-666,1666,-2156,-35681,471,-1630,5732,12212,-1859,11036
784,-4510,-1192,-4592,-17239,864,198,3566,-8169,-4877,-518,1664,-1744,-37079,-212,-1900,9392,9904,-2497,10562
-328,-5467,-1326,-5582,-16314,-241,-867,3560,-8117,-6234,-953,1444,-1603,-39340,-1358,-2119,10916,8765,-3727,9935
-1663,-5127,-1082,-5514,-16801,-1701,-1042,4026,-8014,-8615,-567,707,-2290,-41212,-1097,-2403,11516,7247,-4443,9518
-2904,-5118,-414,-5048,-18704,-2967,-1432,3345,-7511,-8154,-583,865,-2833,-44856,-317,-2063,10603,5327,-5659,6766
-3857,-5021,-576,-4424,-21657,-3987,-1848,2711,-7346,-8538,-134,672,-3859,-48531,383,-1808,9628,4773,-6276,4327
-5235,-4244,-506,-4023,-27514,-3230,-2307,1942,-7497,-8857,177,-172,-4643,-52148,1027,-1212,7664,3770,-6285,160
-7629,-1486,-763,-4406,-36931,-3042,-2198,1701,-7218,-9437,2,-717,-4826,-55714,1560,-1171,5079,3242,-5331,-4716
-7488,-2219,-1846,-3548,-43950,-3491,-2099,1656,-7001,-8967,-299,-584,-6457,-58872,1988,-197,3630,2792,-6670,-10425
-7934,-838,-2686,-2258,-53301,-3329,-2943,1640,-6969,-8493,-66,-1226,-6792,-60425,2814,11,1426,2607,-4119,-12652
-8270,-614,-3184,-3045,-60818,-2571,-2968,1153,-6864,-7966,102,-1739,-7013,-60644,3721,718,-81,2438,-2870,-13738
-8332,234,-3490,-3292,-66558,-2315,-2854,1041,-6987,-7533,-208,-1717,-7356,-60453,3932,1595,-1629,2331,-1386,-12001
